task,response,choices,domain,response_type,id,sequence,rt,enc_task,enc_response,gender,education,guessed,task_opinion1,effort_finding_answer,like_syllog,strategy,strategy_description,quantifier_most,tired,attentive,certain,serious_participation,study_comment,similar_experiments,session
Most not;carpenters;divers/No;carpenters;linguists,Some not;linguists;divers,All;divers;linguists|All;linguists;divers|No;divers;linguists|No;linguists;divers|Some;divers;linguists|Some;linguists;divers|Some not;divers;linguists|Some not;linguists;divers|Most;divers;linguists|Most;linguists;divers|Most not;divers;linguists|Most not;linguists;divers|NVC,syllogistic-generalized,single-choice,participant_1,102,2417.0,DE4,Oca,male,masters,0,55,95,95,yes,I imagined a Venn diagram.,no,61,97,70,yes,,,2
Most not;hikers;writers/Some;drivers;writers,Some not;drivers;hikers,All;hikers;drivers|All;drivers;hikers|No;hikers;drivers|No;drivers;hikers|Some;hikers;drivers|Some;drivers;hikers|Some not;hikers;drivers|Some not;drivers;hikers|Most;hikers;drivers|Most;drivers;hikers|Most not;hikers;drivers|Most not;drivers;hikers|NVC,syllogistic-generalized,single-choice,participant_1,103,2830.0,DI3,Oca,male,masters,0,55,95,95,yes,I imagined a Venn diagram.,no,61,97,70,yes,,,2
All;boxers;opticians/Most not;boxers;actuaries,Some;opticians;actuaries,All;opticians;actuaries|All;actuaries;opticians|No;opticians;actuaries|No;actuaries;opticians|Some;opticians;actuaries|Some;actuaries;opticians|Some not;opticians;actuaries|Some not;actuaries;opticians|Most;opticians;actuaries|Most;actuaries;opticians|Most not;opticians;actuaries|Most not;actuaries;opticians|NVC,syllogistic-generalized,single-choice,participant_1,103,6709.0,AD4,Iac,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Some not;bankers;teachers/Some;bankers;golfers,Some not;golfers;teachers,All;teachers;golfers|All;golfers;teachers|No;teachers;golfers|No;golfers;teachers|Some;teachers;golfers|Some;golfers;teachers|Some not;teachers;golfers|Some not;golfers;teachers|Most;teachers;golfers|Most;golfers;teachers|Most not;teachers;golfers|Most not;golfers;teachers|NVC,syllogistic-generalized,single-choice,participant_1,104,4929.0,OI4,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most;brewers;judges/Some not;porters;judges,Some not;porters;brewers,All;brewers;porters|All;porters;brewers|No;brewers;porters|No;porters;brewers|Some;brewers;porters|Some;porters;brewers|Some not;brewers;porters|Some not;porters;brewers|Most;brewers;porters|Most;porters;brewers|Most not;brewers;porters|Most not;porters;brewers|NVC,syllogistic-generalized,single-choice,participant_1,105,2387.0,TO3,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Some not;students;cyclists/Most;buyers;students,Some not;buyers;cyclists,All;cyclists;buyers|All;buyers;cyclists|No;cyclists;buyers|No;buyers;cyclists|Some;cyclists;buyers|Some;buyers;cyclists|Some not;cyclists;buyers|Some not;buyers;cyclists|Most;cyclists;buyers|Most;buyers;cyclists|Most not;cyclists;buyers|Most not;buyers;cyclists|NVC,syllogistic-generalized,single-choice,participant_1,106,2856.0,OT2,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
No;tailors;singers/All;tailors;pilots,NVC,All;singers;pilots|All;pilots;singers|No;singers;pilots|No;pilots;singers|Some;singers;pilots|Some;pilots;singers|Some not;singers;pilots|Some not;pilots;singers|Most;singers;pilots|Most;pilots;singers|Most not;singers;pilots|Most not;pilots;singers|NVC,syllogistic-generalized,single-choice,participant_1,107,16049.0,EA4,NVC,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
All;artists;surfers/No;planners;artists,Some;planners;surfers,All;surfers;planners|All;planners;surfers|No;surfers;planners|No;planners;surfers|Some;surfers;planners|Some;planners;surfers|Some not;surfers;planners|Some not;planners;surfers|Most;surfers;planners|Most;planners;surfers|Most not;surfers;planners|Most not;planners;surfers|NVC,syllogistic-generalized,single-choice,participant_1,108,2776.0,AE2,Ica,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Some not;hikers;writers/All;drivers;hikers,Some not;drivers;writers,All;writers;drivers|All;drivers;writers|No;writers;drivers|No;drivers;writers|Some;writers;drivers|Some;drivers;writers|Some not;writers;drivers|Some not;drivers;writers|Most;writers;drivers|Most;drivers;writers|Most not;writers;drivers|Most not;drivers;writers|NVC,syllogistic-generalized,single-choice,participant_1,109,2762.0,OA2,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most;dentists;plumbers/All;lifeguards;plumbers,Some;dentists;lifeguards,All;dentists;lifeguards|All;lifeguards;dentists|No;dentists;lifeguards|No;lifeguards;dentists|Some;dentists;lifeguards|Some;lifeguards;dentists|Some not;dentists;lifeguards|Some not;lifeguards;dentists|Most;dentists;lifeguards|Most;lifeguards;dentists|Most not;dentists;lifeguards|Most not;lifeguards;dentists|NVC,syllogistic-generalized,single-choice,participant_1,110,2739.0,TA3,Iac,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
No;divers;carpenters/Some not;carpenters;linguists,Some not;linguists;divers,All;divers;linguists|All;linguists;divers|No;divers;linguists|No;linguists;divers|Some;divers;linguists|Some;linguists;divers|Some not;divers;linguists|Some not;linguists;divers|Most;divers;linguists|Most;linguists;divers|Most not;divers;linguists|Most not;linguists;divers|NVC,syllogistic-generalized,single-choice,participant_1,111,2747.0,EO1,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Some;clerks;managers/Most not;managers;models,Some not;models;clerks,All;clerks;models|All;models;clerks|No;clerks;models|No;models;clerks|Some;clerks;models|Some;models;clerks|Some not;clerks;models|Some not;models;clerks|Most;clerks;models|Most;models;clerks|Most not;clerks;models|Most not;models;clerks|NVC,syllogistic-generalized,single-choice,participant_1,112,2745.0,ID1,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most;chemists;potters/Some not;sailors;chemists,Some not;sailors;potters,All;potters;sailors|All;sailors;potters|No;potters;sailors|No;sailors;potters|Some;potters;sailors|Some;sailors;potters|Some not;potters;sailors|Some not;sailors;potters|Most;potters;sailors|Most;sailors;potters|Most not;potters;sailors|Most not;sailors;potters|NVC,syllogistic-generalized,single-choice,participant_1,113,3466.0,TO2,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Some not;hunters;lawyers/Most not;hunters;athletes,Some not;athletes;lawyers,All;lawyers;athletes|All;athletes;lawyers|No;lawyers;athletes|No;athletes;lawyers|Some;lawyers;athletes|Some;athletes;lawyers|Some not;lawyers;athletes|Some not;athletes;lawyers|Most;lawyers;athletes|Most;athletes;lawyers|Most not;lawyers;athletes|Most not;athletes;lawyers|NVC,syllogistic-generalized,single-choice,participant_1,114,2934.0,OD4,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Some not;analysts;novelists/Some not;travelers;novelists,Some not;travelers;analysts,All;analysts;travelers|All;travelers;analysts|No;analysts;travelers|No;travelers;analysts|Some;analysts;travelers|Some;travelers;analysts|Some not;analysts;travelers|Some not;travelers;analysts|Most;analysts;travelers|Most;travelers;analysts|Most not;analysts;travelers|Most not;travelers;analysts|NVC,syllogistic-generalized,single-choice,participant_1,115,2374.0,OO3,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
All;florists;editors/Some;soldiers;editors,Some not;soldiers;florists,All;florists;soldiers|All;soldiers;florists|No;florists;soldiers|No;soldiers;florists|Some;florists;soldiers|Some;soldiers;florists|Some not;florists;soldiers|Some not;soldiers;florists|Most;florists;soldiers|Most;soldiers;florists|Most not;florists;soldiers|Most not;soldiers;florists|NVC,syllogistic-generalized,single-choice,participant_1,116,2636.0,AI3,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most;porters;brewers/Some;judges;porters,Some not;judges;brewers,All;brewers;judges|All;judges;brewers|No;brewers;judges|No;judges;brewers|Some;brewers;judges|Some;judges;brewers|Some not;brewers;judges|Some not;judges;brewers|Most;brewers;judges|Most;judges;brewers|Most not;brewers;judges|Most not;judges;brewers|NVC,syllogistic-generalized,single-choice,participant_1,117,7901.0,TI2,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most;agents;brokers/Most;secretaries;brokers,Some not;secretaries;agents,All;agents;secretaries|All;secretaries;agents|No;agents;secretaries|No;secretaries;agents|Some;agents;secretaries|Some;secretaries;agents|Some not;agents;secretaries|Some not;secretaries;agents|Most;agents;secretaries|Most;secretaries;agents|Most not;agents;secretaries|Most not;secretaries;agents|NVC,syllogistic-generalized,single-choice,participant_1,118,2400.0,TT3,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most;boxers;actuaries/All;actuaries;opticians,Most;boxers;opticians,All;boxers;opticians|All;opticians;boxers|No;boxers;opticians|No;opticians;boxers|Some;boxers;opticians|Some;opticians;boxers|Some not;boxers;opticians|Some not;opticians;boxers|Most;boxers;opticians|Most;opticians;boxers|Most not;boxers;opticians|Most not;opticians;boxers|NVC,syllogistic-generalized,single-choice,participant_1,119,9677.0,TA1,Tac,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most not;lifeguards;plumbers/Most;dentists;lifeguards,Some not;dentists;plumbers,All;plumbers;dentists|All;dentists;plumbers|No;plumbers;dentists|No;dentists;plumbers|Some;plumbers;dentists|Some;dentists;plumbers|Some not;plumbers;dentists|Some not;dentists;plumbers|Most;plumbers;dentists|Most;dentists;plumbers|Most not;plumbers;dentists|Most not;dentists;plumbers|NVC,syllogistic-generalized,single-choice,participant_1,120,4371.0,DT2,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most;cleaners;auditors/No;painters;cleaners,Some not;painters;auditors,All;auditors;painters|All;painters;auditors|No;auditors;painters|No;painters;auditors|Some;auditors;painters|Some;painters;auditors|Some not;auditors;painters|Some not;painters;auditors|Most;auditors;painters|Most;painters;auditors|Most not;auditors;painters|Most not;painters;auditors|NVC,syllogistic-generalized,single-choice,participant_1,121,3353.0,TE2,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
No;assistants;farmers/Most not;assistants;scholars,Some not;scholars;farmers,All;farmers;scholars|All;scholars;farmers|No;farmers;scholars|No;scholars;farmers|Some;farmers;scholars|Some;scholars;farmers|Some not;farmers;scholars|Some not;scholars;farmers|Most;farmers;scholars|Most;scholars;farmers|Most not;farmers;scholars|Most not;scholars;farmers|NVC,syllogistic-generalized,single-choice,participant_1,122,1896.0,ED4,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Some not;typists;boxers/No;boxers;dancers,Some not;dancers;typists,All;typists;dancers|All;dancers;typists|No;typists;dancers|No;dancers;typists|Some;typists;dancers|Some;dancers;typists|Some not;typists;dancers|Some not;dancers;typists|Most;typists;dancers|Most;dancers;typists|Most not;typists;dancers|Most not;dancers;typists|NVC,syllogistic-generalized,single-choice,participant_1,123,2557.0,OE1,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
All;designers;architects/Most;designers;trainers,Some;trainers;architects,All;architects;trainers|All;trainers;architects|No;architects;trainers|No;trainers;architects|Some;architects;trainers|Some;trainers;architects|Some not;architects;trainers|Some not;trainers;architects|Most;architects;trainers|Most;trainers;architects|Most not;architects;trainers|Most not;trainers;architects|NVC,syllogistic-generalized,single-choice,participant_1,124,2766.0,AT4,Ica,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
No;butchers;packers/Most not;packers;tutors,Some not;tutors;butchers,All;butchers;tutors|All;tutors;butchers|No;butchers;tutors|No;tutors;butchers|Some;butchers;tutors|Some;tutors;butchers|Some not;butchers;tutors|Some not;tutors;butchers|Most;butchers;tutors|Most;tutors;butchers|Most not;butchers;tutors|Most not;tutors;butchers|NVC,syllogistic-generalized,single-choice,participant_1,125,3311.0,ED1,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most not;pilots;tailors/Some;pilots;singers,Some not;singers;tailors,All;tailors;singers|All;singers;tailors|No;tailors;singers|No;singers;tailors|Some;tailors;singers|Some;singers;tailors|Some not;tailors;singers|Some not;singers;tailors|Most;tailors;singers|Most;singers;tailors|Most not;tailors;singers|Most not;singers;tailors|NVC,syllogistic-generalized,single-choice,participant_1,126,2574.0,DI4,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most not;poets;waiters/All;cashiers;waiters,Some not;cashiers;poets,All;poets;cashiers|All;cashiers;poets|No;poets;cashiers|No;cashiers;poets|Some;poets;cashiers|Some;cashiers;poets|Some not;poets;cashiers|Some not;cashiers;poets|Most;poets;cashiers|Most;cashiers;poets|Most not;poets;cashiers|Most not;cashiers;poets|NVC,syllogistic-generalized,single-choice,participant_1,127,2000.0,DA3,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
No;painters;actors/All;actors;workers,Some not;workers;painters,All;painters;workers|All;workers;painters|No;painters;workers|No;workers;painters|Some;painters;workers|Some;workers;painters|Some not;painters;workers|Some not;workers;painters|Most;painters;workers|Most;workers;painters|Most not;painters;workers|Most not;workers;painters|NVC,syllogistic-generalized,single-choice,participant_1,128,2795.0,EA1,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Some;hunters;lawyers/All;athletes;lawyers,Some not;athletes;hunters,All;hunters;athletes|All;athletes;hunters|No;hunters;athletes|No;athletes;hunters|Some;hunters;athletes|Some;athletes;hunters|Some not;hunters;athletes|Some not;athletes;hunters|Most;hunters;athletes|Most;athletes;hunters|Most not;hunters;athletes|Most not;athletes;hunters|NVC,syllogistic-generalized,single-choice,participant_1,129,2517.0,IA3,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
No;scientists;runners/Some;chefs;scientists,Some not;chefs;runners,All;runners;chefs|All;chefs;runners|No;runners;chefs|No;chefs;runners|Some;runners;chefs|Some;chefs;runners|Some not;runners;chefs|Some not;chefs;runners|Most;runners;chefs|Most;chefs;runners|Most not;runners;chefs|Most not;chefs;runners|NVC,syllogistic-generalized,single-choice,participant_1,130,2204.0,EI2,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most;painters;auditors/Most;painters;cleaners,Some not;cleaners;auditors,All;auditors;cleaners|All;cleaners;auditors|No;auditors;cleaners|No;cleaners;auditors|Some;auditors;cleaners|Some;cleaners;auditors|Some not;auditors;cleaners|Some not;cleaners;auditors|Most;auditors;cleaners|Most;cleaners;auditors|Most not;auditors;cleaners|Most not;cleaners;auditors|NVC,syllogistic-generalized,single-choice,participant_1,131,2191.0,TT4,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Some;jugglers;investors/Some not;jugglers;barbers,Some not;barbers;investors,All;investors;barbers|All;barbers;investors|No;investors;barbers|No;barbers;investors|Some;investors;barbers|Some;barbers;investors|Some not;investors;barbers|Some not;barbers;investors|Most;investors;barbers|Most;barbers;investors|Most not;investors;barbers|Most not;barbers;investors|NVC,syllogistic-generalized,single-choice,participant_1,132,2465.0,IO4,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
No;planners;surfers/Some;surfers;artists,Some not;artists;planners,All;planners;artists|All;artists;planners|No;planners;artists|No;artists;planners|Some;planners;artists|Some;artists;planners|Some not;planners;artists|Some not;artists;planners|Most;planners;artists|Most;artists;planners|Most not;planners;artists|Most not;artists;planners|NVC,syllogistic-generalized,single-choice,participant_1,133,2192.0,EI1,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Some;cooks;mayors/Some not;swimmers;cooks,Some not;swimmers;mayors,All;mayors;swimmers|All;swimmers;mayors|No;mayors;swimmers|No;swimmers;mayors|Some;mayors;swimmers|Some;swimmers;mayors|Some not;mayors;swimmers|Some not;swimmers;mayors|Most;mayors;swimmers|Most;swimmers;mayors|Most not;mayors;swimmers|Most not;swimmers;mayors|NVC,syllogistic-generalized,single-choice,participant_1,134,2234.0,IO2,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most not;jugglers;investors/Some not;investors;barbers,Some not;barbers;jugglers,All;jugglers;barbers|All;barbers;jugglers|No;jugglers;barbers|No;barbers;jugglers|Some;jugglers;barbers|Some;barbers;jugglers|Some not;jugglers;barbers|Some not;barbers;jugglers|Most;jugglers;barbers|Most;barbers;jugglers|Most not;jugglers;barbers|Most not;barbers;jugglers|NVC,syllogistic-generalized,single-choice,participant_1,135,2205.0,DO1,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Some;nurses;drillers/Most not;actors;drillers,Some not;actors;nurses,All;nurses;actors|All;actors;nurses|No;nurses;actors|No;actors;nurses|Some;nurses;actors|Some;actors;nurses|Some not;nurses;actors|Some not;actors;nurses|Most;nurses;actors|Most;actors;nurses|Most not;nurses;actors|Most not;actors;nurses|NVC,syllogistic-generalized,single-choice,participant_1,136,2354.0,ID3,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Some not;architects;designers/Some;trainers;designers,Some not;trainers;architects,All;architects;trainers|All;trainers;architects|No;architects;trainers|No;trainers;architects|Some;architects;trainers|Some;trainers;architects|Some not;architects;trainers|Some not;trainers;architects|Most;architects;trainers|Most;trainers;architects|Most not;architects;trainers|Most not;trainers;architects|NVC,syllogistic-generalized,single-choice,participant_1,137,2047.0,OI3,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most not;climbers;tellers/Some;tellers;doctors,Some not;doctors;climbers,All;climbers;doctors|All;doctors;climbers|No;climbers;doctors|No;doctors;climbers|Some;climbers;doctors|Some;doctors;climbers|Some not;climbers;doctors|Some not;doctors;climbers|Most;climbers;doctors|Most;doctors;climbers|Most not;climbers;doctors|Most not;doctors;climbers|NVC,syllogistic-generalized,single-choice,participant_1,138,2017.0,DI1,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Some;miners;skaters/All;miners;poets,Some;poets;skaters,All;skaters;poets|All;poets;skaters|No;skaters;poets|No;poets;skaters|Some;skaters;poets|Some;poets;skaters|Some not;skaters;poets|Some not;poets;skaters|Most;skaters;poets|Most;poets;skaters|Most not;skaters;poets|Most not;poets;skaters|NVC,syllogistic-generalized,single-choice,participant_1,139,6723.0,IA4,Ica,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
No;travelers;analysts/Most;novelists;analysts,Some not;novelists;travelers,All;travelers;novelists|All;novelists;travelers|No;travelers;novelists|No;novelists;travelers|Some;travelers;novelists|Some;novelists;travelers|Some not;travelers;novelists|Some not;novelists;travelers|Most;travelers;novelists|Most;novelists;travelers|Most not;travelers;novelists|Most not;novelists;travelers|NVC,syllogistic-generalized,single-choice,participant_1,140,2125.0,ET3,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most not;actors;workers/No;workers;painters,Some not;painters;actors,All;actors;painters|All;painters;actors|No;actors;painters|No;painters;actors|Some;actors;painters|Some;painters;actors|Some not;actors;painters|Some not;painters;actors|Most;actors;painters|Most;painters;actors|Most not;actors;painters|Most not;painters;actors|NVC,syllogistic-generalized,single-choice,participant_1,141,2335.0,DE1,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
Most not;sailors;potters/Most not;chemists;sailors,Some not;chemists;potters,All;potters;chemists|All;chemists;potters|No;potters;chemists|No;chemists;potters|Some;potters;chemists|Some;chemists;potters|Some not;potters;chemists|Some not;chemists;potters|Most;potters;chemists|Most;chemists;potters|Most not;potters;chemists|Most not;chemists;potters|NVC,syllogistic-generalized,single-choice,participant_1,142,2213.0,DD2,Oca,male,masters,0,60,95,97,yes,I imagined Venn diagrams.,no,65,95,70,yes,,No,3
All;analysts;travelers/All;analysts;novelists,NVC,All;travelers;novelists|All;novelists;travelers|No;travelers;novelists|No;novelists;travelers|Some;travelers;novelists|Some;novelists;travelers|Some not;travelers;novelists|Some not;novelists;travelers|Most;travelers;novelists|Most;novelists;travelers|Most not;travelers;novelists|Most not;novelists;travelers|NVC,syllogistic-generalized,single-choice,participant_10,0,17805.0,AA4,NVC,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Some not;florists;soldiers/Some not;editors;florists,NVC,All;soldiers;editors|All;editors;soldiers|No;soldiers;editors|No;editors;soldiers|Some;soldiers;editors|Some;editors;soldiers|Some not;soldiers;editors|Some not;editors;soldiers|Most;soldiers;editors|Most;editors;soldiers|Most not;soldiers;editors|Most not;editors;soldiers|NVC,syllogistic-generalized,single-choice,participant_10,1,26159.0,OO2,NVC,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
No;tellers;climbers/Some;doctors;climbers,NVC,All;tellers;doctors|All;doctors;tellers|No;tellers;doctors|No;doctors;tellers|Some;tellers;doctors|Some;doctors;tellers|Some not;tellers;doctors|Some not;doctors;tellers|Most;tellers;doctors|Most;doctors;tellers|Most not;tellers;doctors|Most not;doctors;tellers|NVC,syllogistic-generalized,single-choice,participant_10,2,7844.0,EI3,NVC,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Most not;butchers;packers/Most;packers;tutors,Some;butchers;tutors,All;butchers;tutors|All;tutors;butchers|No;butchers;tutors|No;tutors;butchers|Some;butchers;tutors|Some;tutors;butchers|Some not;butchers;tutors|Some not;tutors;butchers|Most;butchers;tutors|Most;tutors;butchers|Most not;butchers;tutors|Most not;tutors;butchers|NVC,syllogistic-generalized,single-choice,participant_10,3,13426.0,DT1,Iac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
All;opticians;actuaries/No;opticians;boxers,No;actuaries;boxers,All;actuaries;boxers|All;boxers;actuaries|No;actuaries;boxers|No;boxers;actuaries|Some;actuaries;boxers|Some;boxers;actuaries|Some not;actuaries;boxers|Some not;boxers;actuaries|Most;actuaries;boxers|Most;boxers;actuaries|Most not;actuaries;boxers|Most not;boxers;actuaries|NVC,syllogistic-generalized,single-choice,participant_10,4,43146.0,AE4,Eac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
No;artists;surfers/No;artists;planners,No;surfers;planners,All;surfers;planners|All;planners;surfers|No;surfers;planners|No;planners;surfers|Some;surfers;planners|Some;planners;surfers|Some not;surfers;planners|Some not;planners;surfers|Most;surfers;planners|Most;planners;surfers|Most not;surfers;planners|Most not;planners;surfers|NVC,syllogistic-generalized,single-choice,participant_10,5,18339.0,EE4,Eac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
All;butchers;tutors/Some not;butchers;packers,Some not;tutors;packers,All;tutors;packers|All;packers;tutors|No;tutors;packers|No;packers;tutors|Some;tutors;packers|Some;packers;tutors|Some not;tutors;packers|Some not;packers;tutors|Most;tutors;packers|Most;packers;tutors|Most not;tutors;packers|Most not;packers;tutors|NVC,syllogistic-generalized,single-choice,participant_10,6,142964.0,AO4,Oac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
No;bankers;teachers/Most not;golfers;bankers,NVC,All;teachers;golfers|All;golfers;teachers|No;teachers;golfers|No;golfers;teachers|Some;teachers;golfers|Some;golfers;teachers|Some not;teachers;golfers|Some not;golfers;teachers|Most;teachers;golfers|Most;golfers;teachers|Most not;teachers;golfers|Most not;golfers;teachers|NVC,syllogistic-generalized,single-choice,participant_10,7,24765.0,ED2,NVC,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
No;climbers;therapists/No;skaters;therapists,NVC,All;climbers;skaters|All;skaters;climbers|No;climbers;skaters|No;skaters;climbers|Some;climbers;skaters|Some;skaters;climbers|Some not;climbers;skaters|Some not;skaters;climbers|Most;climbers;skaters|Most;skaters;climbers|Most not;climbers;skaters|Most not;skaters;climbers|NVC,syllogistic-generalized,single-choice,participant_10,8,11124.0,EE3,NVC,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Most not;lifeguards;dentists/Some not;plumbers;dentists,Some not;lifeguards;plumbers,All;lifeguards;plumbers|All;plumbers;lifeguards|No;lifeguards;plumbers|No;plumbers;lifeguards|Some;lifeguards;plumbers|Some;plumbers;lifeguards|Some not;lifeguards;plumbers|Some not;plumbers;lifeguards|Most;lifeguards;plumbers|Most;plumbers;lifeguards|Most not;lifeguards;plumbers|Most not;plumbers;lifeguards|NVC,syllogistic-generalized,single-choice,participant_10,9,59361.0,DO3,Oac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Some not;lawyers;athletes/Most not;hunters;athletes,NVC,All;lawyers;hunters|All;hunters;lawyers|No;lawyers;hunters|No;hunters;lawyers|Some;lawyers;hunters|Some;hunters;lawyers|Some not;lawyers;hunters|Some not;hunters;lawyers|Most;lawyers;hunters|Most;hunters;lawyers|Most not;lawyers;hunters|Most not;hunters;lawyers|NVC,syllogistic-generalized,single-choice,participant_10,10,6696.0,OD3,NVC,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
No;lawyers;athletes/Some not;hunters;athletes,Some;lawyers;hunters,All;lawyers;hunters|All;hunters;lawyers|No;lawyers;hunters|No;hunters;lawyers|Some;lawyers;hunters|Some;hunters;lawyers|Some not;lawyers;hunters|Some not;hunters;lawyers|Most;lawyers;hunters|Most;hunters;lawyers|Most not;lawyers;hunters|Most not;hunters;lawyers|NVC,syllogistic-generalized,single-choice,participant_10,11,77582.0,EO3,Iac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Some;skaters;climbers/Most;climbers;therapists,Some;therapists;skaters,All;skaters;therapists|All;therapists;skaters|No;skaters;therapists|No;therapists;skaters|Some;skaters;therapists|Some;therapists;skaters|Some not;skaters;therapists|Some not;therapists;skaters|Most;skaters;therapists|Most;therapists;skaters|Most not;skaters;therapists|Most not;therapists;skaters|NVC,syllogistic-generalized,single-choice,participant_10,12,21954.0,IT1,Ica,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
